sequence,frame_range,file_path,final_event_type,confidence,window_count,total_weight,sequence_event_type,EMPTY_D_TH,V_OK,score_sum,sequence_event_feats,"weights(a,b,c)"
05,000100_000400,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\000100_000400\05_f0100_0400\final_event_scorevote.txt,Normal,0.922,28.0,840.0,Normal,0.03,6.0,"{'Empty': 35.83334069699049, 'Normal': 776.2446772763506, 'Congestion': 29.634481916204095}","{'density_mean': 0.42619046568870544, 'speed_mean': 6.664972305297852, 'occupancy_mean': 0.00538680562749505, 'ego_motion': 0.0999872237443924, 'static_dwell_norm': 0.8224172592163086, 'static_change_focus': 0.0999872237443924, 'occlusion_score': 2.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.5690475702285767, 'speed_reliable_ratio': 0.9642857142857143, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 1.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,000200_000500,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\000200_000500\05_f0200_0500\final_event_scorevote.txt,Normal,0.95,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 798.2031819233671, 'Congestion': 41.79681807663292}","{'density_mean': 0.42521795630455017, 'speed_mean': 6.384509563446045, 'occupancy_mean': 0.005447970237582922, 'ego_motion': 0.10139197111129761, 'static_dwell_norm': 0.7761131525039673, 'static_change_focus': 0.10139197111129761, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.589537262916565, 'speed_reliable_ratio': 0.9678068410462777, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,000300_000600,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\000300_000600\05_f0300_0600\final_event_scorevote.txt,Normal,0.946,28.0,840.0,Normal,0.03,6.0,"{'Empty': 0.0, 'Normal': 794.8527183411643, 'Congestion': 45.14728165883571}","{'density_mean': 0.4180278182029724, 'speed_mean': 6.047210216522217, 'occupancy_mean': 0.005131111480295658, 'ego_motion': 0.10474762320518494, 'static_dwell_norm': 0.7836101055145264, 'static_change_focus': 0.10474762320518494, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.4954627752304077, 'speed_reliable_ratio': 0.969147005444646, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,000400_000700,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\000400_000700\05_f0400_0700\final_event_scorevote.txt,Normal,0.925,28.0,840.0,Normal,0.03,6.0,"{'Empty': 28.333332799375057, 'Normal': 777.4882185226306, 'Congestion': 34.653448686003685}","{'density_mean': 0.4307810962200165, 'speed_mean': 7.473397731781006, 'occupancy_mean': 0.005349530838429928, 'ego_motion': 0.12769123911857605, 'static_dwell_norm': 0.829582691192627, 'static_change_focus': 0.12769123911857605, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.5591647624969482, 'speed_reliable_ratio': 0.9559164733178654, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,000500_000800,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\000500_000800\05_f0500_0800\final_event_scorevote.txt,Normal,0.803,28.0,840.0,Normal,0.03,6.0,"{'Empty': 145.83334060385823, 'Normal': 678.3381525827572, 'Congestion': 20.975288530346006}","{'density_mean': 0.477053165435791, 'speed_mean': 8.20335578918457, 'occupancy_mean': 0.006235254462808371, 'ego_motion': 0.1064860001206398, 'static_dwell_norm': 0.808753490447998, 'static_change_focus': 0.1064860001206398, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.8224637508392334, 'speed_reliable_ratio': 0.9565217391304348, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,000600_000900,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\000600_000900\05_f0600_0900\final_event_scorevote.txt,Normal,0.791,28.0,840.0,Normal,0.03,6.0,"{'Empty': 156.66668051853776, 'Normal': 669.1814043838531, 'Congestion': 20.486196715850383}","{'density_mean': 0.4499540627002716, 'speed_mean': 8.47017765045166, 'occupancy_mean': 0.0051801614463329315, 'ego_motion': 0.08963585644960403, 'static_dwell_norm': 0.7167386412620544, 'static_change_focus': 0.08963585644960403, 'occlusion_score': 2.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.5013774633407593, 'speed_reliable_ratio': 0.9586776859504132, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 1.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,000700_001000,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\000700_001000\05_f0700_1000\final_event_scorevote.txt,Normal,0.871,28.0,840.0,Normal,0.03,6.0,"{'Empty': 86.66668079793452, 'Normal': 736.6689034216106, 'Congestion': 22.24869596399367}","{'density_mean': 0.39764705300331116, 'speed_mean': 7.416316032409668, 'occupancy_mean': 0.00433847913518548, 'ego_motion': 0.0784829780459404, 'static_dwell_norm': 0.7182382345199585, 'static_change_focus': 0.0784829780459404, 'occlusion_score': 2.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.2588235139846802, 'speed_reliable_ratio': 0.96, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 1.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,000800_001100,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\000800_001100\05_f0800_1100\final_event_scorevote.txt,Normal,0.931,28.0,840.0,Normal,0.03,6.0,"{'Empty': 30.833351463079442, 'Normal': 790.1647326387465, 'Congestion': 27.45281214080751}","{'density_mean': 0.4103703498840332, 'speed_mean': 7.385892391204834, 'occupancy_mean': 0.004488741047680378, 'ego_motion': 0.07368984818458557, 'static_dwell_norm': 0.7586151957511902, 'static_change_focus': 0.07368984818458557, 'occlusion_score': 2.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.2933332920074463, 'speed_reliable_ratio': 0.9555555555555556, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 1.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,000900_001200,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\000900_001200\05_f0900_1200\final_event_scorevote.txt,Normal,0.926,28.0,840.0,Normal,0.03,6.0,"{'Empty': 30.000016391277303, 'Normal': 784.9198523499072, 'Congestion': 33.09352752752602}","{'density_mean': 0.4576271176338196, 'speed_mean': 7.387620449066162, 'occupancy_mean': 0.005214258097112179, 'ego_motion': 0.10062948614358902, 'static_dwell_norm': 0.8281882405281067, 'static_change_focus': 0.10062948614358902, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.501694917678833, 'speed_reliable_ratio': 0.9457627118644067, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
05,001000_001300,D:\연구실\new_hitmap_ver\src\out_bev_ranges\05\001000_001300\05_f1000_1300\final_event_scorevote.txt,Normal,0.926,28.0,840.0,Normal,0.03,6.0,"{'Empty': 25.00000864267349, 'Normal': 783.196670671925, 'Congestion': 37.89983984827995}","{'density_mean': 0.42652326822280884, 'speed_mean': 6.733729362487793, 'occupancy_mean': 0.005072697065770626, 'ego_motion': 0.12356661260128021, 'static_dwell_norm': 0.749963104724884, 'static_change_focus': 0.12356661260128021, 'occlusion_score': 0.0, 'congestion_score': 0.0, 'speed_samples_mean': 1.4650537967681885, 'speed_reliable_ratio': 0.9543010752688172, 'ego_speed_mean': None, 'speed_ratio': None, 'speed_std_mean': None, 'occlusion_like': 0.0, 'empty_like': 0.0}","0.5,0.3,0.2"
